section,slot,question,answer_1,points_1,answer_2,points_2,answer_3,points_3,answer_4,points_4,answer_5,points_5,answer_6,points_6,answer_7,points_7,answer_8,points_8
EPISODE,,Family Life,,,,,,,,,,,,,,,,
ROUND,1,Name Something Most Parents Can’t Wait Until Their Child Starts Doing On His Own,Walking,38,Driving,18,Using Bathroom,14,Eating,8,Paying Bills,6,Dressing,5,Laundry,5,,
ROUND,2,Name Something Around The House You Might Keep Spare Batteries For,Flashlight,42,Remote Control,26,Radio,11,Toys,8,Music Player,6,Portable Videogame,5,,,,
ROUND,3,Name something Specific A Married Couple Might Take Turns Doing,Dishes,42,Cooking,27,Laundry,10,Watching Kids,8,Driving,4,,,,,,
ROUND,4,Name Something A Baby Spends A Lot Of Time Doing.,Sleeping,66,Crying,22,Eating,6,Going To The Bathroom,2,,,,,,,,
ROUND,5,Why Might A Family Move Into A Bigger House?,Family Has Grown,61,Want More Space,33,Can Afford More,5,,,,,,,,,,
FM,1,Name Something A Child Might Sleep With,Teddy Bear,39,Blanket,31,Pillow,10,Parents,7,Doll,5,Night Light,4,Pacifier,3,,
FM,2,Name Something That Parents Are Always Telling Their kids To Clean.,Their Rooms,49,Their Teeth,17,Their Hands,13,Behind Their ears,10,Their Plates,8,,,,,,
FM,3,Name Something Kids Love To Eat That Adults Like Too.,Ice Cream,30,Candy,18,Pizza,16,Cookies,9,Hot Dog,8,French Fries,7,Popsicle,7,,
FM,4,"Name Something A Parent Tries, To Get Their Baby To Sleep.",Singing,51,Rocking,32,Warm Milk,9,Car Ride,6,,,,,,,,
FM,5,"Name Something Chubby That’s Cute On A Baby, But Not On An Adult",Cheeks,62,Legs,19,Belly,12,Butt,3,,,,,,,,
