section,slot,question,answer_1,points_1,answer_2,points_2,answer_3,points_3,answer_4,points_4,answer_5,points_5,answer_6,points_6,answer_7,points_7,answer_8,points_8
EPISODE,,At The Office,,,,,,,,,,,,,,,,
ROUND,1,Name A Hygiene Product That You Hope Your Office Mate Uses Every Day.,Soap,34,Deoderant,30,Toothpaste,19,Shampoo,5,Mouthwash,4,Hand Sanitizer,4,Perfume,3,,
ROUND,2,Name A Job Where It Would Be Okay To Yell At Work,construction,43,Sports,31,Teacher,8,Police,6,Stock Broker,5,Auctioneer,4,,,,
ROUND,3,Name Something An Employee Sitting In The Cubicle Next To You Might Do That Annoys You.,Talks Too Loud,35,Tap Pen/Pencil,29,Sings,14,Cough,10,Chew Gum,6,,,,,,
ROUND,4,Name A Profession Where You May Receive Lots Of Mail From Strangers.,Celebrity,51,Politician,36,Customer Service,7,Advice Columnist,5,,,,,,,,
ROUND,5,"Other Than Illness, Name An Acceptable Excuse For Missing Work.",Funeral,61,Car Trouble,30,Jury Duty,8,,,,,,,,,,
FM,1,Name Something An Office Worker Says They Could Use More Of.,Paper,28,Time,16,Money,16,Pens/Pencils,12,Breaks/Time Off,11,Assistance,7,Coffee,6,,
FM,2,Which Quality Do You Think A Boss Looks For First When Hiring A New Employee?,Appearance,27,Honesty,18,Experience,14,Personality,14,Education,10,Intelligence,9,Confidence,5,,
FM,3,Name A Job That A Clumsy Person Would Be Fired From Immediately.,Food Server,35,Surgeon,28,Construction Worker,10,Dancer,6,Acrobat,5,Bartender,5,,,,
FM,4,Name Something A Telemarketer Probably Hates About Their Job.,People Hanging Up,51,Rude People,22,Getting Rejected,12,Making Phone Calls,4,Asking Questions,2,Boring,2,,,,
FM,5,"On A Resume, What Might A Person Claim They Can Do Quickly?",Type,53,Learn,21,Finish Tasks,12,,,,,,,,,,
