section,slot,question,answer_1,points_1,answer_2,points_2,answer_3,points_3,answer_4,points_4,answer_5,points_5,answer_6,points_6,answer_7,points_7,answer_8,points_8
EPISODE,,Food & Kitchen,,,,,,,,,,,,,,,,
ROUND,1,Name Something That Almost Anyone Can Cook.,Eggs,48,Toast,16,Pasta,12,Soup,8,Mac & Cheese,5,Hot Dogs,4,Pizza,3,,
ROUND,2,"Besides Utensils, Name Something That’s Already On The Restaurant Table When You Sit Down.",Napkins,46,Salt And Pepper,19,Menu,11,Glass,8,Table Cloth,5,Ketchup,4,,,,
ROUND,3,Name Something A Pizza Delivery Person Hates About Their Job,Bad Tips,47,Dogs,16,Driving,14,Finding House,14,Bad Areas,8,,,,,,
ROUND,4,Name A Drink You Get At A Cafe That Most People Can’t Make At Home,Latte,39,Cappuccino,29,Mocha,12,Americano,7,,,,,,,,
ROUND,5,Name A Kind Of Cookie People Love To Dunk In Milk,Chocolate Chip,54,Oreo,42,Oatmeal,5,,,,,,,,,,
FM,1,Name Something You Need To Bake A Cake.,Flour,34,Eggs,31,Cake Mix,9,Baking Pan,8,Oven,6,Spatula,3,Milk,2,,
FM,2,Name A Specific Smell From A Diner In The Morning That Makes You Want To Go In,Bacon,45,Coffee,25,Eggs,11,Pancakes,11,Sausage,4,Donuts,3,,,,
FM,3,Name a topping you’d put on both a pizza and a taco.,Cheese,44,Beef/Sausage,23,Tomato,20,Olives,6,Onions,4,,,,,,
FM,4,Name Something You Do To A Chicken Before You Cook It,Clean It,42,Season It,19,Cut It,11,Kill It,9,Pluck It,5,Skin It,4,Stuff It,4,,
FM,5,Name A Food You Can Cook On A Campfire.,Hot Dogs,27,Hamburgers,25,Marshmallows,18,Chicken,12,Steak,9,Fish,5,Beans,4,,
