section,slot,question,answer_1,points_1,answer_2,points_2,answer_3,points_3,answer_4,points_4,answer_5,points_5,answer_6,points_6,answer_7,points_7,answer_8,points_8
EPISODE,,Holidays,,,,,,,,,,,,,,,,
ROUND,1,Name Something You’d Never Forget To Do On Christmas Day,Exchange Gifts,39,Eat,20,Wake Up,14,Cook,12,Sing,4,Go To Church,3,Say Merry Christmas,3,,
ROUND,2,"Besides Thanksgiving, Name A Holiday You Celebrate With A Lot Of Food.",Christmas,65,Easter,9,Fourth Of July,7,New Years,5,Memorial Day,4,hanukkah,4,,,,
ROUND,3,Name A Halloween Costume People Wear If They Don’t Want To Go All Out,Ghost,50,Witch,36,Pumpkin,5,Vampire,4,Pajamas,3,,,,,,
ROUND,4,Name A Common Gag Gift At An “Over The Hill” Birthday Party.,Cane,45,Diapers,31,Black Balloons,9,Glasses,4,,,,,,,,
ROUND,5,Name A Character Who’s Known For Almost Ruining Christmas.,Grinch,67,Ebenezer Scrooge,28,Charlie Brown,4,,,,,,,,,,
FM,1,Name Something About His Job That Santa Claus Might Brag About.,Flying Reindeer,36,Generosity,21,Works Once A Year,12,World Travel,11,Paid In Cookies,8,Fancy Sleigh,6,Efficiency,4,,
FM,2,Name Something You Use To Decorate Your Face For Halloween,Paint,64,Mask,19,Fake Blood,5,Clown Nose,4,Glitter,3,,,,,,
FM,3,Name Something Your House Is Full Of After Christmas,PRESENTS,34,WRAPPING PAPER,31,FOOD,15,PINE NEEDLES,6,BOXES,5,PEOPLE,4,,,,
FM,4,"Name A Halloween Costume You See On Babies, But Rarely See On Their Parents",Pumkin,67,Bunny,12,Clown,6,Angel,5,Princess,4,,,,,,
FM,5,Name Something No Christmas Party Should Be Without.,Egg Nog,23,Tree,19,Gifts,17,Santa Claus,14,Drinks,9,Food,9,Mistletoe,5,,
