section,slot,question,answer_1,points_1,answer_2,points_2,answer_3,points_3,answer_4,points_4,answer_5,points_5,answer_6,points_6,answer_7,points_7,answer_8,points_8
EPISODE,,On The Road,,,,,,,,,,,,,,,,
ROUND,1,Name Something That Can Stink Up Your Car,Cigarettes,56,Rotten Fruit,8,Spoiled Milk,8,Fish,7,Wet Dog,6,Body Ordor,5,Onion,3,,
ROUND,2,"Name Something You Do At Home, But Not While Staying In A Hotel.",Cook,51,Clean,12,Smoke Inside,11,Play Loud Music,9,Walk Around Naked,7,Laundry,5,,,,
ROUND,3,Name Something You’d Hate To Lose At The Airport.,Luggage,36,Boarding Pass,21,ID/Passport,17,Money,13,Kids,4,,,,,,
ROUND,4,Name Something You Hope To Have Your Seat Near While Riding In A Plane,Window,61,Bathroom,20,Exit,12,Aisle,6,,,,,,,,
ROUND,5,Name Something You Should Probably Book Ahead Of Time If You’re Going On Vacation.,Hotel,73,Flight,23,Car,3,,,,,,,,,,
FM,1,Name Something You Keep In Your Car’s Glove Compartment.,Registration,35,Map,23,Insurance Card,13,Flashlight,12,Gloves,8,Tissues,4,Car Manual,3,,
FM,2,Name A Place Where Most Americans Go At Least Once For Vacation,Disneyland/World,45,Hawii,35,Las Vegas,6,Mexico,5,Grand Canyon,4,New York City,4,,,,
FM,3,"Besides Your Plane Ticket, Name Something You Can Spend Money On At An Airport",Food/Drink,44,Magazine/Paper,27,Souveniers,11,Luggage Fee,9,Parking,6,,,,,,
FM,4,Why Might You Have To Stop The Car During A Long Ride?,Use Bathroom,40,Get Gas,18,Eat,15,Car Trouble,11,Need Rest,7,Car Sick,5,Kids Fighting,4,,
FM,5,Name Something You Expect To See Inside Every Hotel Room,Bed,40,Towels,28,TV,15,Bible,7,Soap,4,Coffeemaker,3,,,,
