section,slot,question,answer_1,points_1,answer_2,points_2,answer_3,points_3,answer_4,points_4,answer_5,points_5,answer_6,points_6,answer_7,points_7,answer_8,points_8
EPISODE,,School Days,,,,,,,,,,,,,,,,
ROUND,1,Name A School Subject That People Often Become Bad At In Adulthood.,Math,35,English/Spelling,21,History,20,Science,12,Geography,5,Physical Fitness,3,Foreign Language,3,,
ROUND,2,Name Something College Roommates Might Argue About.,Cleaning,47,Food,10,Money,10,Space,10,music,7,Bedtime,7,,,,
ROUND,3,Name A Food Served In An Elementary School Cafeteria,Pizza,46,Meatloaf,21,Jell O,10,Fries,7,Chicken Nuggets,4,,,,,,
ROUND,4,Name Something A College Student Would Write Down On A Calendar.,Exam/Due Dates,41,Days Off,23,Graduation,11,Parties,8,,,,,,,,
ROUND,5,"Name A Skill That’s More Important For Teens To Learn Today, Than Previously",Computer Skills,63,Driving,30,Second Language,3,,,,,,,,,,
FM,1,Name Something You’d Find In A School Lost-And-Found Box.,Jacket,33,Hat,22,Gloves,16,Lunch Box,7,Glasses,7,Book,6,Shoes,5,,
FM,2,Name Something A Kid Might Need To Buy Before Starting A New School Year,Backpack,27,Clothes,20,Pencils,12,Pens,12,Crayons,9,Books,7,Notebook,5,,
FM,3,Name Something A College Student Might Hide Before His Parents Came To Visit,Beer,46,Dirty Clothes,28,Grades,9,Sweetheart,5,Cigarettes,4,Dirty Dishes,4,,,,
FM,4,Name A Reason A Kid Might Get Sent Home From School.,Got In A Fight,35,Being Sick,21,Talk Back To Teacher,16,Bring A Weapon,9,Swearing,7,Smoking,4,,,,
FM,5,Name Something Teens May Be Afraid Of When Moving Away To College,Expenses,41,Being Alone,25,Leaving Home,12,Making New Friends,5,Difficult Classes,4,New Roommate,3,,,,
