section,slot,question,answer_1,points_1,answer_2,points_2,answer_3,points_3,answer_4,points_4,answer_5,points_5,answer_6,points_6,answer_7,points_7,answer_8,points_8
EPISODE,,Love & Dating,,,,,,,,,,,,,,,,
ROUND,1,Name Something Specific A Woman Looks At When She First Meets A Man On A Blind Date.,Eyes,73,Shoes,9,Smile,4,Muscles,3,Wallet,3,Clothes,3,Butt,2,,
ROUND,2,Name Something A Married Couple Saves From Their Wedding Day.,Cake Top,63,Pictures,11,Ring,8,Dress,6,Matchbook,3,Flowers,3,,,,
ROUND,3,Name Something Two People On A Date Might Share,Kiss,33,Drink,24,Food,20,Bill,9,Conversation,5,,,,,,
ROUND,4,We Asked 100 Women: Name A Gift That You’d Always Be Happy To Get From Your Partner.,Flowers,43,Jewelry,29,Money,13,Chocolate,3,,,,,,,,
ROUND,5,Name A Place Where It Might Be Romantic To Get Stranded With Your Partner,Island/Beach,61,Park,28,Cabin/Lodge,6,,,,,,,,,,
FM,1,Name Something That Both Men And Women Use To Get Ready For A Date,Shower,34,Fragrance,26,Comb,15,Toothpaste/Brush,9,Deodorant,5,Mirror,4,Razor,4,,
FM,2,What Are The Most Popular Types Of Flowers Used In A Wedding,Roses,44,Tulips,23,Lilies,18,Carnations,11,Daisies,3,,,,,,
FM,3,Name A Food That People Get Fed In A Romantic Situation.,Strawberries,38,Chocolate,17,Grapes,10,Steak,9,Oysters,9,Lobster,8,Pasta,7,,
FM,4,Name An Occasion That A Man Might Propose To His Girlfriend,Valentines Day,31,Her Birthday,22,Christmas,18,At A Wedding,11,Anniversary,8,Vacation,7,,,,
FM,5,Who Would A Bride Not Want To Show Up Unannounced At Her Wedding?,Ex,33,Enemy,22,Boss,16,Affair,12,Cops,4,,,,,,
