section,slot,question,answer_1,points_1,answer_2,points_2,answer_3,points_3,answer_4,points_4,answer_5,points_5,answer_6,points_6,answer_7,points_7,answer_8,points_8
EPISODE,,Sports & Games,,,,,,,,,,,,,,,,
ROUND,1,Name A Sport In Which The Athletes Don’t Wear A Lot Of Clothes.,Swimming,52,Basketball,20,Volleyball,18,Soccer,6,Tennis,6,Wrestling,3,Boxing,3,,
ROUND,2,Name A Football Bowl Game,Super Bowl,51,Rose Bowl,26,Sugar Bowl,12,Cotton Bowl,5,Orange Bowl,4,Peach Bowl,2,,,,
ROUND,3,Name Something You Might Find In A Tennis Bag.,Tennis Balls,62,Racquet,32,Towel,5,Tennis Shoes,3,Socks,2,,,,,,
ROUND,4,Name A Game Teenagers Play At Parties,Spin The Bottle,69,Twister,10,Quarters,8,Cards,8,,,,,,,,
ROUND,5,Name Something People Bet On,Horses Races,68,Sports,20,Card Games,10,,,,,,,,,,
FM,1,Name Something Football Players Wear For Protection.,Helmet,43,Cup,25,Shoulder Pads,19,Knee Pads,5,Mouth Guard,3,,,,,,
FM,2,Name Something They Give Away Free To Attract Fans At A Baseball Game.,Caps,47,Baseball,12,T Shirts,9,Free Tickets,8,Baseball Cards,8,Stickers,5,Autographs,4,,
FM,3,Name Something You Are Embarrassed To Do In Front Of People At The Gym,Change Clothes,33,Shower,25,Pass Gas,16,Run,11,Stretch/Bend Over,6,Dance,3,,,,
FM,4,Name A Game You Played In Gym Class But Doesn’t Offer Much Exercise?,Dodgeball,54,Tag,21,Volleyball,8,Duck Duck Goose,6,Ping Pong,4,Bowling,3,,,,
FM,5,Name A Professional Football Team That’s Named For An Animal.,Bears,39,Dolphins,13,Lions,12,Eagles,11,Panthers,7,Colts,6,Rams,5,,
