section,slot,question,answer_1,points_1,answer_2,points_2,answer_3,points_3,answer_4,points_4,answer_5,points_5,answer_6,points_6,answer_7,points_7,answer_8,points_8
EPISODE,,Movies & TV,,,,,,,,,,,,,,,,
ROUND,1,Name A Movie That Wasn’t Nearly As Good As The Book,Harry Potter,47,Twilight,12,The Shining,11,Lord Of The Rings,10,Color Purple,9,Gone With The Wind,7,Hitchhikers Guide,4,,
ROUND,2,Name A Christmas Show That Is On Tv Every Year,Rudolph,25,Christmas Story,21,Charlie Brown,15,Frosty,12,Grinch,11,A Wonderful Life,10,,,,
ROUND,3,"Besides “Family Feud”, Name A Tv Show With “Family” In Its Title",Family Ties,44,Family Matters,24,All In The Family,16,Family Guy,11,Addam’s Family,3,,,,,,
ROUND,4,Name Something You’d Be Surprised To Find That A Superhero Couldn’t Do.,Fly,60,Fight,17,Apprehend Bad Guys,13,Lift Heavy Weight,8,,,,,,,,
ROUND,5,"Other Than Movie Tickets, Name Something A Crowded Movie Theatre Might Run Out Of.",Popcorn,51,Space,30,Candy,8,,,,,,,,,,
FM,1,Name A Movie Theater Food That Gets Stuck In Your Teeth. Be Specific!,Pop Corn,67,Milk Duds,12,Dots,6,Gummy Bears,5,Taffy,4,Peanuts,3,,,,
FM,2,Name A Type Of TV Show A Man Might Be Embarrassed To Say He Watches A Lot Of.,Soap Opera,61,Cartoons,13,Talk show,10,Game Show,8,Wrestling,5,,,,,,
FM,3,Name Something That Causes People To Change Seats At The Movies,Want Better View,41,Noisy Neighbors,30,Tall Person In Front,18,Dirty/Sticky Seat,6,Affectionate Couple,4,,,,,,
FM,4,Name a cartoon character who’s always getting hurt.,Wile E Coyote,44,Daffy Duck,18,Tom/Jerry,17,Tasmanian Devil,8,Itchy & Scratchy,7,,,,,,
FM,5,Name Something You See In Horror Movies That Begins With The Letter “B.”,Blood,37,Bad Guy/Boogieman,24,Bears/Beast,16,Bones/Body,13,Butcher Knife,4,Basement,3,,,,
